"103 -- 3. Puolueiden kannatus eduskuntavaaleissa 2019"

"Äänestysalue";"Yhteensä Osuus äänistä % Kaikki ehdokkaat";"SDP Osuus äänistä % Kaikki ehdokkaat";"PS Osuus äänistä % Kaikki ehdokkaat";"KOK Osuus äänistä % Kaikki ehdokkaat";"KESK Osuus äänistä % Kaikki ehdokkaat";"VIHR Osuus äänistä % Kaikki ehdokkaat";"VAS Osuus äänistä % Kaikki ehdokkaat";"RKP Osuus äänistä % Kaikki ehdokkaat";"KD Osuus äänistä % Kaikki ehdokkaat";"SIN Osuus äänistä % Kaikki ehdokkaat";"Piraattip. Osuus äänistä % Kaikki ehdokkaat";"STL Osuus äänistä % Kaikki ehdokkaat";"KP Osuus äänistä % Kaikki ehdokkaat";"FP Osuus äänistä % Kaikki ehdokkaat";"LIBE Osuus äänistä % Kaikki ehdokkaat";"SKP Osuus äänistä % Kaikki ehdokkaat";"EOP Osuus äänistä % Kaikki ehdokkaat";"IP Osuus äänistä % Kaikki ehdokkaat";"SKE Osuus äänistä % Kaikki ehdokkaat";"KTP Osuus äänistä % Kaikki ehdokkaat";"Muut Osuus äänistä % Kaikki ehdokkaat"
"Koko maa";100.0;17.7;17.5;17.0;13.8;11.5;8.2;4.5;3.9;1.0;0.6;0.4;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.0;2.9
"01 Helsingin vaalipiiri";100.0;13.6;12.3;21.8;2.9;23.5;11.1;5.3;1.9;0.5;1.5;0.3;0.0;0.9;0.3;0.2;0.2;0.1;0.1;0.0;3.5
"091 Helsinki";100.0;13.6;12.3;21.8;2.9;23.5;11.1;5.3;1.9;0.5;1.5;0.3;0.0;0.9;0.3;0.2;0.2;0.1;0.1;0.0;3.5
"091 001A Kruununhaka A";100.0;6.3;5.9;34.1;2.5;26.8;8.3;9.1;0.9;0.3;1.2;0.1;0.0;1.0;0.3;0.1;0.2;0.0;0.0;0.0;2.9
"091 002A Kruununhaka B";100.0;7.4;6.9;31.1;3.0;28.1;9.0;6.8;1.3;0.3;1.1;0.3;0.0;1.4;0.2;0.1;0.3;0.0;0.0;0.0;2.8
"091 003A Kaartinkaupunki";100.0;4.0;5.9;47.2;2.0;15.4;3.9;16.4;0.7;0.2;0.9;0.0;0.0;0.4;0.0;0.0;0.2;0.0;0.1;0.0;2.7
"091 004A Kamppi";100.0;5.4;7.3;35.8;2.3;25.1;7.0;8.4;1.1;0.2;1.9;0.1;0.0;0.7;0.6;0.1;0.2;0.1;0.1;0.0;3.5
"091 004B Hietalahti";100.0;6.4;8.2;34.1;1.9;26.6;6.4;8.4;1.1;0.5;1.5;0.3;0.0;0.6;0.5;0.1;0.1;0.0;0.0;0.1;3.3
"091 004C Lapinlahti";100.0;9.0;7.4;28.5;2.1;29.2;7.8;5.8;1.2;0.3;1.9;0.3;0.0;1.7;0.5;0.1;0.2;0.0;0.0;0.0;4.1
"091 005A Punavuori A";100.0;8.0;6.7;31.8;2.2;26.9;7.9;8.7;0.6;0.4;2.0;0.2;0.0;0.6;0.3;0.1;0.3;0.0;0.0;0.1;3.3
