"103 -- 3. Puolueiden kannatus eduskuntavaaleissa 2019"

"Äänestysalue";"Yhteensä Osuus äänistä % Kaikki ehdokkaat";"SDP Osuus äänistä % Kaikki ehdokkaat";"PS Osuus äänistä % Kaikki ehdokkaat";"KOK Osuus äänistä % Kaikki ehdokkaat";"KESK Osuus äänistä % Kaikki ehdokkaat";"VIHR Osuus äänistä % Kaikki ehdokkaat";"VAS Osuus äänistä % Kaikki ehdokkaat";"RKP Osuus äänistä % Kaikki ehdokkaat";"KD Osuus äänistä % Kaikki ehdokkaat";"SIN Osuus äänistä % Kaikki ehdokkaat";"Piraattip. Osuus äänistä % Kaikki ehdokkaat";"STL Osuus äänistä % Kaikki ehdokkaat";"KP Osuus äänistä % Kaikki ehdokkaat";"FP Osuus äänistä % Kaikki ehdokkaat";"LIBE Osuus äänistä % Kaikki ehdokkaat";"SKP Osuus äänistä % Kaikki ehdokkaat";"EOP Osuus äänistä % Kaikki ehdokkaat";"IP Osuus äänistä % Kaikki ehdokkaat";"SKE Osuus äänistä % Kaikki ehdokkaat";"KTP Osuus äänistä % Kaikki ehdokkaat";"Muut Osuus äänistä % Kaikki ehdokkaat"
"Koko maa";100.0;17.7;17.5;17.0;13.8;11.5;8.2;4.5;3.9;1.0;0.6;0.4;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.0;2.9
"01 Helsingin vaalipiiri";100.0;13.6;12.3;21.8;2.9;23.5;11.1;5.3;1.9;0.5;1.5;0.3;0.0;0.9;0.3;0.2;0.2;0.1;0.1;0.0;3.5
"091 Helsinki";100.0;13.6;12.3;21.8;2.9;23.5;11.1;5.3;1.9;0.5;1.5;0.3;0.0;0.9;0.3;0.2;0.2;0.1;0.1;0.0;3.5
"02 Uudenmaan vaalipiiri";100.0;17.8;15.9;20.9;6.5;13.5;4.8;9.1;2.7;1.7;0.7;0.5;0.0;0.2;0.3;0.2;0.2;0.1;0.2;0.1;4.6
"018 Askola";100.0;18.5;23.7;11.4;23.2;6.4;4.2;2.4;2.4;1.6;0.6;0.5;0.1;0.0;0.2;0.3;0.2;0.2;0.1;0.0;4.1
"049 Espoo";100.0;13.0;11.5;31.0;4.0;18.0;3.5;7.7;2.7;1.7;1.0;0.4;0.0;0.2;0.5;0.2;0.2;0.1;0.1;0.0;4.1
"078 Hanko";100.0;28.7;11.4;6.2;1.9;5.5;7.9;30.0;2.2;0.9;0.6;0.7;0.2;0.1;0.2;0.5;0.2;0.1;0.1;0.1;2.5
"092 Vantaa";100.0;21.4;18.3;18.8;5.0;14.5;5.9;2.8;3.0;1.8;1.0;0.6;0.1;0.2;0.3;0.3;0.2;0.2;0.2;0.0;5.4
"106 Hyvinkää";100.0;21.8;24.0;16.8;7.4;11.2;5.5;1.0;3.3;1.7;0.7;0.5;0.0;0.2;0.2;0.3;0.2;0.1;0.2;0.0;4.9
"149 Inkoo";100.0;10.9;8.1;8.4;2.0;7.2;2.8;54.0;1.5;1.2;0.2;0.4;0.0;0.2;0.2;0.2;0.1;0.0;0.1;0.0;2.5
